group_id,load_step,displacement_y,force_y
28,19,0.19,13720.9
28,20,0.2,13980.1
29,0,0,0
29,1,0.01,4645.56
29,2,0.02,7170.1
29,3,0.03,7750.01
29,4,0.04,8145.92
29,5,0.05,8477.77
29,6,0.06,8784.84
29,7,0.07,9072.99
29,8,0.08,9351.06
29,9,0.09,9622.6
29,10,0.1,9889.23
29,11,0.11,10151.9
29,12,0.12,10411.4
29,13,0.13,10668.1
29,14,0.14,10922.4
29,15,0.15,11174.6
29,16,0.16,11424.8
29,17,0.17,11673.2
29,18,0.18,11920
29,19,0.19,12165.2
29,20,0.2,12409
30,0,0,0
30,1,0.01,5152.52
30,2,0.02,8882.11
30,3,0.03,9770.9
30,4,0.04,10346.1
30,5,0.05,10799.4
30,6,0.06,11202.7
30,7,0.07,11573
30,8,0.08,11926.7
30,9,0.09,12270
30,10,0.1,12605.6
30,11,0.11,12935.4
30,12,0.12,13260.4
30,13,0.13,13581.6
30,14,0.14,13899.4
30,15,0.15,14214.2
30,16,0.16,14526.5
30,17,0.17,14836.4
30,18,0.18,15144.1
30,19,0.19,15449.7
30,20,0.2,15753.5
31,0,0,0
31,1,0.01,5126
31,2,0.02,9185.53
31,3,0.03,10080.5
31,4,0.04,10598.8
31,5,0.05,10987.9
31,6,0.06,11324.9
31,7,0.07,11630.7
31,8,0.08,11920.7
31,9,0.09,12200.1
31,10,0.1,12471.8
31,11,0.11,12737.5
31,12,0.12,12998.3
31,13,0.13,13255.1
31,14,0.14,13508.6
31,15,0.15,13759.1
31,16,0.16,14007
31,17,0.17,14252.6
31,18,0.18,14496.1
31,19,0.19,14737.6
31,20,0.2,14977.4
32,0,0,0
32,1,0.01,4848.7
32,2,0.02,8306.81
32,3,0.03,9037.87
32,4,0.04,9469.42
32,5,0.05,9794.5
32,6,0.06,10078.1
32,7,0.07,10336.8
32,8,0.08,10582.5
32,9,0.09,10819.5
32,10,0.1,11049.9
32,11,0.11,11275.1
32,12,0.12,11496.2
32,13,0.13,11713.8
32,14,0.14,11928.4
32,15,0.15,12140.5
32,16,0.16,12350.4
32,17,0.17,12558.2
32,18,0.18,12764.2
32,19,0.19,12968.5
32,20,0.2,13171.3
33,0,0,0
33,1,0.01,5064.32
33,2,0.02,8252.04
33,3,0.03,9091.69
33,4,0.04,9702.61
33,5,0.05,10229.7
33,6,0.06,10722.4
33,7,0.07,11189.8
33,8,0.08,11644.7
33,9,0.09,12091.7
33,10,0.1,12532.6
33,11,0.11,12968.7
33,12,0.12,13400.7
33,13,0.13,13829.3
33,14,0.14,14254.8
33,15,0.15,14677.6
33,16,0.16,15097.9
33,17,0.17,15515.8
33,18,0.18,15931.5
33,19,0.19,16345.2
33,20,0.2,16756.8
34,0,0,0
34,1,0.01,4894.34
34,2,0.02,8895.62
34,3,0.03,9748.58
34,4,0.04,10203.5
34,5,0.05,10503.8
34,6,0.06,10740.7
34,7,0.07,10944.1
34,8,0.08,11133.9
34,9,0.09,11314.8
34,10,0.1,11489.1
34,11,0.11,11658
34,12,0.12,11822.3
34,13,0.13,11982.8
34,14,0.14,12140
34,15,0.15,12294.3
34,16,0.16,12446.2
34,17,0.17,12595.9
34,18,0.18,12743.7
34,19,0.19,12889.7
34,20,0.2,13034.1
35,0,0,0
35,1,0.01,5423.82
35,2,0.02,9335
35,3,0.03,10234.5
35,4,0.04,10816.1
35,5,0.05,11291
35,6,0.06,11718.5
35,7,0.07,12123.9
35,8,0.08,12510.8
35,9,0.09,12887.4
35,10,0.1,13256.7
35,11,0.11,13620.4
35,12,0.12,13979.5
35,13,0.13,14334.6
35,14,0.14,14686.4
35,15,0.15,15035.2
35,16,0.16,15381.3
35,17,0.17,15725
35,18,0.18,16066.3
35,19,0.19,16405.6
35,20,0.2,16742.9
36,0,0,0
36,1,0.01,5071.8
36,2,0.02,8469.73
36,3,0.03,9333.26
36,4,0.04,9938.32
36,5,0.05,10447
36,6,0.06,10916.2
36,7,0.07,11357.2
36,8,0.08,11784.1
36,9,0.09,12202.1
36,10,0.1,12613.5
36,11,0.11,13019.8
36,12,0.12,13421.9
36,13,0.13,13820.3
36,14,0.14,14215.6
36,15,0.15,14608
36,16,0.16,14997.9
36,17,0.17,15385.4
36,18,0.18,15770.7
36,19,0.19,16153.9
36,20,0.2,16535.2
37,0,0,0
37,1,0.01,4949.74
37,2,0.02,7782.63
37,3,0.03,8565.77
37,4,0.04,9158.68
37,5,0.05,9682.08
37,6,0.06,10176.9
37,7,0.07,10650.2
37,8,0.08,11113.1
37,9,0.09,11569
37,10,0.1,12019.5
37,11,0.11,12465.6
37,12,0.12,12908.1
37,13,0.13,13347.3
37,14,0.14,13783.7
37,15,0.15,14217.5
37,16,0.16,14648.8
37,17,0.17,15078
37,18,0.18,15505
37,19,0.19,15930
37,20,0.2,16353.1
38,0,0,0
38,1,0.01,5406.01
38,2,0.02,8046.19
38,3,0.03,8653.77
38,4,0.04,9066.15
38,5,0.05,9410.97
38,6,0.06,9730.67
38,7,0.07,10030.3
38,8,0.08,10319.1
38,9,0.09,10600.8
38,10,0.1,10877
38,11,0.11,11149
38,12,0.12,11417.5
38,13,0.13,11682.9
38,14,0.14,11945.7
38,15,0.15,12206.1
38,16,0.16,12464.5
38,17,0.17,12720.8
38,18,0.18,12975.4
38,19,0.19,13228.4
38,20,0.2,13479.7
39,0,0,0
39,1,0.01,4601.7
39,2,0.02,7048.65
39,3,0.03,7541.86
39,4,0.04,7841.9
39,5,0.05,8081.34
39,6,0.06,8288.67
39,7,0.07,8488.32
39,8,0.08,8677.47
39,9,0.09,8859.95
39,10,0.1,9037.61
39,11,0.11,9211.42
39,12,0.12,9382.08
39,13,0.13,9550.12
39,14,0.14,9715.91
39,15,0.15,9879.74
39,16,0.16,10041.8
39,17,0.17,10202.3
39,18,0.18,10361.4
39,19,0.19,10519.1
39,20,0.2,10675.5
40,0,0,0
40,1,0.01,5240.94
40,2,0.02,7368.71
40,3,0.03,7897.28
40,4,0.04,8241.39
40,5,0.05,8522.72
40,6,0.06,8782.21
40,7,0.07,9024
40,8,0.08,9255.98
40,9,0.09,9481.4
40,10,0.1,9701.85
40,11,0.11,9918.37
40,12,0.12,10131.7
40,13,0.13,10342.3
40,14,0.14,10550.5
40,15,0.15,10756.6
40,16,0.16,10960.9
40,17,0.17,11163.5
40,18,0.18,11364.5
40,19,0.19,11564
40,20,0.2,11762.1
41,0,0,0
41,1,0.01,5254.93
41,2,0.02,7314.55
41,3,0.03,7678.6
41,4,0.04,7889.25
41,5,0.05,8060.06
41,6,0.06,8211.27
41,7,0.07,8357.09
41,8,0.08,8495.31
41,9,0.09,8628.28
41,10,0.1,8757.17
41,11,0.11,8882.65
41,12,0.12,9005.27
41,13,0.13,9125.47
41,14,0.14,9243.57
41,15,0.15,9359.86
41,16,0.16,9474.53
41,17,0.17,9587.76
41,18,0.18,9699.7
41,19,0.19,9810.43
41,20,0.2,9920.06
42,0,0,0
42,1,0.01,4552.96
42,2,0.02,8091.82
42,3,0.03,9021.18
42,4,0.04,9655.2
42,5,0.05,10179
42,6,0.06,10654.6
42,7,0.07,11097.4
42,8,0.08,11523.8
42,9,0.09,11940.2
42,10,0.1,12349.4
42,11,0.11,12753
42,12,0.12,13152.2
42,13,0.13,13547.6
42,14,0.14,13939.8
42,15,0.15,14329.2
42,16,0.16,14716
42,17,0.17,15100.3
42,18,0.18,15482.5
42,19,0.19,15862.7
42,20,0.2,16240.9
43,0,0,0
43,1,0.01,4525.7
43,2,0.02,7277.45
43,3,0.03,7968.78
43,4,0.04,8451.48
43,5,0.05,8855.32
43,6,0.06,9227.69
43,7,0.07,9576.97
43,8,0.08,9914.63
43,9,0.09,10245
43,10,0.1,10569.9
43,11,0.11,10890.5
43,12,0.12,11207.6
43,13,0.13,11521.7
43,14,0.14,11833.1
43,15,0.15,12142.2
43,16,0.16,12449.1
43,17,0.17,12754.1
43,18,0.18,13057.3
43,19,0.19,13358.7
43,20,0.2,13658.6
44,0,0,0
44,1,0.01,5111.12
44,2,0.02,7443.59
44,3,0.03,8113.17
44,4,0.04,8578.8
44,5,0.05,8962.51
44,6,0.06,9311.55
44,7,0.07,9645.56
44,8,0.08,9964.46
44,9,0.09,10275.3
44,10,0.1,10580.7
44,11,0.11,10881.9
44,12,0.12,11179.5
44,13,0.13,11474.2
44,14,0.14,11766.2
44,15,0.15,12055.9
44,16,0.16,12343.5
44,17,0.17,12629.1
44,18,0.18,12912.9
44,19,0.19,13195
44,20,0.2,13475.6
45,0,0,0
45,1,0.01,5092.66
45,2,0.02,8025.68
45,3,0.03,8839.14
45,4,0.04,9451.87
45,5,0.05,9990.12
45,6,0.06,10497.8
45,7,0.07,10982.5
45,8,0.08,11456
45,9,0.09,11922.2
45,10,0.1,12382.8
45,11,0.11,12838.8
45,12,0.12,13291
45,13,0.13,13739.8
45,14,0.14,14185.7
45,15,0.15,14628.9
45,16,0.16,15069.6
45,17,0.17,15508
45,18,0.18,15944.3
45,19,0.19,16378.4
45,20,0.2,16810.6
46,0,0,0
46,1,0.01,4402.44
46,2,0.02,8534.81
46,3,0.03,9594.22
46,4,0.04,10097.2
46,5,0.05,10417.6
46,6,0.06,10652.6
46,7,0.07,10838.7
46,8,0.08,11006.8
46,9,0.09,11165.2
46,10,0.1,11316.8
46,11,0.11,11463
46,12,0.12,11604.8
46,13,0.13,11742.8
46,14,0.14,11877.6
46,15,0.15,12009.4
46,16,0.16,12138.7
46,17,0.17,12265.8
46,18,0.18,12390.8
46,19,0.19,12514.1
46,20,0.2,12635.7
47,0,0,0
47,1,0.01,4525.58
47,2,0.02,7672.44
47,3,0.03,8521.99
47,4,0.04,9126.03
47,5,0.05,9628.12
47,6,0.06,10081.3
47,7,0.07,10511.9
47,8,0.08,10924.1
47,9,0.09,11326.4
47,10,0.1,11722.2
47,11,0.11,12112.8
47,12,0.12,12499.3
47,13,0.13,12882.3
47,14,0.14,13262.3
47,15,0.15,13639.6
47,16,0.16,14014.4
47,17,0.17,14387
47,18,0.18,14757.6
47,19,0.19,15126.1
47,20,0.2,15492.8
48,0,0,0
48,1,0.01,4713.32
48,2,0.02,7690.89
48,3,0.03,8400.73
48,4,0.04,8879.03
48,5,0.05,9270.96
48,6,0.06,9628.95
48,7,0.07,9962.81
48,8,0.08,10284.2
48,9,0.09,10597.6
48,10,0.1,10905.2
48,11,0.11,11208.2
48,12,0.12,11507.5
48,13,0.13,11803.6
48,14,0.14,12097
48,15,0.15,12387.9
48,16,0.16,12676.6
48,17,0.17,12963.3
48,18,0.18,13248.1
48,19,0.19,13531.2
48,20,0.2,13812.6
49,0,0,0
49,1,0.01,4531.74
49,2,0.02,8310.05
49,3,0.03,9163.25
49,4,0.04,9644.75
49,5,0.05,9972.51
49,6,0.06,10227.8
49,7,0.07,10452.7
49,8,0.08,10658.5
49,9,0.09,10854.1
49,10,0.1,11042.6
49,11,0.11,11225.3
49,12,0.12,11403.4
49,13,0.13,11577.6
49,14,0.14,11748.5
49,15,0.15,11916.5
49,16,0.16,12082.1
49,17,0.17,12245.6
49,18,0.18,12407.1
49,19,0.19,12566.9
49,20,0.2,12725.1
50,0,0,0
50,1,0.01,5130.74
50,2,0.02,9106.34
50,3,0.03,10132.2
50,4,0.04,10822.5
50,5,0.05,11382.5
50,6,0.06,11885.1
50,7,0.07,12349.2
50,8,0.08,12794.1
50,9,0.09,13227.3
50,10,0.1,13652.1
50,11,0.11,14070.6
50,12,0.12,14483.9
50,13,0.13,14893.1
50,14,0.14,15298.6
50,15,0.15,15700.8
50,16,0.16,16100.2
50,17,0.17,16497
50,18,0.18,16891.4
50,19,0.19,17283.4
50,20,0.2,17673.4
51,0,0,0
51,1,0.01,4374.44
51,2,0.02,8442.21
51,3,0.03,9651.59
51,4,0.04,10409
51,5,0.05,11019.5
51,6,0.06,11555.2
51,7,0.07,12039.6
51,8,0.08,12498.1
51,9,0.09,12941.2
51,10,0.1,13373.8
51,11,0.11,13798.8
51,12,0.12,14217.9
51,13,0.13,14632.2
51,14,0.14,15042.6
51,15,0.15,15449.5
51,16,0.16,15853.5
51,17,0.17,16254.7
51,18,0.18,16653.4
51,19,0.19,17049.8
51,20,0.2,17444
52,0,0,0
52,1,0.01,4789.96
52,2,0.02,8255.51
52,3,0.03,9086.34
52,4,0.04,9620.25
52,5,0.05,10030.3
52,6,0.06,10388.1
52,7,0.07,10712.8
52,8,0.08,11021.2
52,9,0.09,11319.3
52,10,0.1,11610.1
52,11,0.11,11895.1
52,12,0.12,12175.5
52,13,0.13,12452.3
