group_id,param_E,param_v,param_sigma_y,param_H,x,y,u,v,type
0,215585,0.302629,286.704,1675.64,16,1,-0.0368018,0.00906943,0
0,215585,0.302629,286.704,1675.64,16.5,1,-0.044647,0.0108494,0
0,215585,0.302629,286.704,1675.64,17,1,-0.0536752,0.0121516,0
0,215585,0.302629,286.704,1675.64,17.5,1,-0.0650764,0.0154929,0
0,215585,0.302629,286.704,1675.64,18,1,-0.0788508,0.0184325,0
0,215585,0.302629,286.704,1675.64,18.5,1,-0.0975895,0.0258897,0
0,215585,0.302629,286.704,1675.64,19,1,-0.121859,0.0350751,0
0,215585,0.302629,286.704,1675.64,19.5,1,-0.153551,0.0578608,0
0,215585,0.302629,286.704,1675.64,20,1,-0.164047,0.0822056,0
0,215585,0.302629,286.704,1675.64,0,1.5,0.182365,0.0849524,0
0,215585,0.302629,286.704,1675.64,0.5,1.5,0.17251,0.075815,0
0,215585,0.302629,286.704,1675.64,1,1.5,0.160271,0.062113,0
0,215585,0.302629,286.704,1675.64,1.5,1.5,0.138796,0.0464934,0
0,215585,0.302629,286.704,1675.64,2,1.5,0.119735,0.0373944,0
0,215585,0.302629,286.704,1675.64,2.5,1.5,0.102444,0.0296826,0
0,215585,0.302629,286.704,1675.64,3,1.5,0.0883489,0.0254083,0
0,215585,0.302629,286.704,1675.64,3.5,1.5,0.0757575,0.0213494,0
0,215585,0.302629,286.704,1675.64,4,1.5,0.0651055,0.0191188,0
0,215585,0.302629,286.704,1675.64,4.5,1.5,0.055387,0.0168517,0
0,215585,0.302629,286.704,1675.64,5,1.5,0.0467206,0.0155747,0
0,215585,0.302629,286.704,1675.64,5.5,1.5,0.0385667,0.0141275,0
0,215585,0.302629,286.704,1675.64,6,1.5,0.0309943,0.0130075,0
0,215585,0.302629,286.704,1675.64,6.5,1.5,0.0238822,0.0115504,0
0,215585,0.302629,286.704,1675.64,7,1.5,0.0174617,0.0100943,0
0,215585,0.302629,286.704,1675.64,7.5,1.5,0.0119424,0.00847855,0
